SA2 code,SA2 name,postcode
216021414,Yarrawonga,3730
216031415,Mooroopna,3629
216031416,Shepparton - North,3631
216031418,Shepparton Surrounds - East,3631
216031419,Shepparton Surrounds - West,3631
216031593,Kialla,3631
216031594,Shepparton - South East,3630
217011420,Glenelg (Vic.),0
217011421,Hamilton (Vic.),3300
217011422,Portland,3305
217011423,Southern Grampians,0
217031471,Camperdown,3260
217031472,Colac,3250
217031473,Colac Surrounds,3250
217031474,Corangamite - North,0
217031475,Corangamite - South,0
217031476,Otway,3233
217041477,Moyne - East,0
217041478,Moyne - West,0
217041479,Warrnambool - North,3280
217041480,Warrnambool - South,3280
