postcode,2001_population,2002_population,2003_population,2004_population,2005_population,2006_population,2007_population,2008_population,2009_population,2010_population,2011_population,2012_population,2013_population,2014_population,2015_population,2016_population,2017_population,2018_population,2019_population,2020_population,2021_population,2022_population,2023_population,ERP_2023_change_number,natural_2023_increase_number,internal_2023_migration_number,overseas_2023_migration_number,area_in_square_kilometers,estimated_2024_population,IEO_Score,IEO_State Rank,IEO_State Decile,IEO_State Percentile,IER_Usual Resident Population,IER_Score,IER_State Rank,IER_State Decile,IER_State Percentile,ERP_2023_change_percentage(%),population_density_2023
3754,1297,1340,1589,2175,2769,3516,5270,7268,10510,13981,17461,22000,26530,30520,34340,38972,42212,44919,47536,49571,50718,52030,53403,1373,687,47,639,38.2,54816,1009.79,267.25,5.5,52.0,50137.0,1059.59,403.75,8.5,79.0,2.57,1397.98
3756,7916,8421,9042,9562,10044,10330,10586,10938,11268,11643,12189,13090,14058,14859,15686,16747,17618,18740,20090,21543,22953,24680,26304,1624,365,1099,160,507.7,28040,954.82,134.0,3.0,26.0,22627.0,1064.64,422.0,9.0,83.0,6.17,51.81
3757,5781,5931,6208,6440,6700,6778,6869,7004,7156,7381,7580,7762,7920,8049,8221,8436,8786,9121,9436,9803,10763,12336,14020,1684,132,1453,99,298.0,15941,974.92,176.0,4.0,35.0,10661.0,1059.67,407.0,8.0,80.0,12.01,47.05
3759,5103,5148,5184,5216,5286,5374,5365,5357,5329,5274,5227,5242,5269,5300,5342,5409,5426,5406,5321,5236,5121,5162,5129,-33,15,-84,36,292.2,5098,1063.93,368.0,8.0,72.0,5091.0,1111.45,504.0,10.0,99.0,-0.64,17.55
3763,3677,3737,3787,3850,3927,4032,4023,4064,3567,3626,3671,3752,3810,3856,3922,3984,4049,4121,4153,4172,4237,4309,4353,44,28,13,3,319.5,4397,991.67,216.0,5.0,42.0,4204.0,1069.74,438.0,9.0,86.0,1.01,13.62
3764,8889,9094,9548,9919,10237,10406,10798,11016,11257,11685,12038,12468,12883,13271,13642,14098,14392,14691,15109,15330,15523,15779,16130,351,74,183,94,461.5,16485,940.34,102.0,2.0,20.0,15563.0,1023.92,298.0,6.0,58.0,2.18,34.95
3765,6852,6811,6791,6761,6738,6739,6772,6830,6921,6955,6966,6987,7004,7011,7031,7078,7126,7139,7110,7051,6993,6962,6928,-34,-30,-47,43,10.5,6893,1008.75,262.0,6.0,51.0,6943.0,1080.34,465.0,10.0,91.0,-0.49,659.81
3777,11841,12049,12291,12403,12532,12539,12571,12721,12991,13135,13175,13370,13597,13754,13900,14106,14232,14367,14420,14335,14181,14100,14121,21,18,-73,76,369.5,14135,981.96,190.0,4.0,37.0,14065.0,1037.94,343.0,7.0,67.0,0.15,38.22
3781,16964,17062,17173,17332,17454,17628,17699,17793,17902,17969,18012,18072,18144,18241,18375,18580,18686,18776,18843,18838,18802,18741,18911,170,84,-6,92,371.6,19081,1010.62,269.0,6.0,53.0,18633.0,1091.19,481.0,10.0,94.0,0.9,50.89
3788,9787,9769,9764,9762,9769,9778,9843,9903,9974,10035,10060,10062,10064,10065,10066,10109,10084,10074,10051,9953,9770,9642,9633,-9,37,-135,89,81.9,9623,1091.81,414.0,9.0,81.0,9706.0,1087.37,474.0,10.0,93.0,-0.09,117.62
