id,promoType,price,hasVideo,agentNames,brandName,addressStreet,addressSuburb,addressState,addressPostcode,addressLat,addressLng,num_bath,type,formatted,isRural,landSize,Retirement,min_distance_to_university,min_distance_to_shopping_mall,min_distance_to_secondary_school,min_distance_to_primary_school,min_distance_to_park,min_walking_distance_to_station,nearest_station
17178469,elite,400,False,Para Taneski,Sweeney Estate Agents Williamstown,4/21 Latrobe Street,FOOTSCRAY,VIC,3011,-37.79774,144.88976,1.0,ApartmentUnitFlat,Apartment / Unit / Flat,False,0.0,False,1.15,2.92,0.44,0.42,0.33,0.935,Middle Footscray Railway Station (Footscray)
17181930,elite,460,False,Nelson Wu,CT Real Estate,1103/2 Hallenstein Street,FOOTSCRAY,VIC,3011,-37.80043,144.90816,1.0,ApartmentUnitFlat,Apartment / Unit / Flat,False,0.0,False,1.46,4.23,1.2,0.29,0.2,0.748,Footscray Railway Station (Footscray)
17186598,elite,550,True,"Bronte Carfino, Thembie  Sikwila",MRE,5/8 Whitehall Street,FOOTSCRAY,VIC,3011,-37.79987,144.90633,1.0,ApartmentUnitFlat,Apartment / Unit / Flat,False,0.0,False,1.37,4.14,1.11,0.2,0.02,0.651,Footscray Railway Station (Footscray)
17187872,elite,440,False,Natasha Roman,Jas Stephens Real Estate,223/9 Hewitt Avenue,FOOTSCRAY,VIC,3011,-37.799675,144.8806,1.0,House,House,False,0.0,False,2.02,3.84,1.31,0.82,0.73,0.564,West Footscray Railway Station (West Footscray)
17188035,elite,390,False,"Alexandria Boyce, April Langley",Buxton Inner West,8/16 Eldridge Street,FOOTSCRAY,VIC,3011,-37.789722,144.89304,1.0,ApartmentUnitFlat,Apartment / Unit / Flat,False,0.0,False,1.15,2.15,0.27,1.27,0.08,1.938,Middle Footscray Railway Station (Footscray)
17190633,elite,500,False,Cassie Favero,Jas Stephens Real Estate,13/49 Napier Street,FOOTSCRAY,VIC,3011,-37.80482,144.9024,1.0,ApartmentUnitFlat,Apartment / Unit / Flat,False,0.0,False,0.58,4.66,0.7,0.46,0.56,0.505,Footscray Railway Station (Footscray)
17191059,elite,520,False,"Charlotte Tran, Isabel Villa",Lucas Real Estate,719/59 PAISLEY STREET,FOOTSCRAY,VIC,3011,-37.800797,144.8972,1.0,ApartmentUnitFlat,Apartment / Unit / Flat,False,0.0,False,0.54,3.85,0.36,0.67,1.03,0.712,Middle Footscray Railway Station (Footscray)
17191700,elite,550,True,"Mason Wong, Hayley Tran",Inner Real Estate NEXTRE,738/18 Albert Street,FOOTSCRAY,VIC,3011,-37.801647,144.8977,2.0,ApartmentUnitFlat,Apartment / Unit / Flat,False,0.0,False,0.37,4.03,0.49,0.84,0.97,0.671,Middle Footscray Railway Station (Footscray)
9491181,standard,500,False,Amy Rowley,Pagan Real Estate,706/38 Mt Alexander Road,TRAVANCORE,VIC,3032,-37.784794,144.93864,1.0,ApartmentUnitFlat,Apartment / Unit / Flat,False,0.0,False,2.38,5.89,0.59,0.66,0.42,0.486,Flemington Bridge Railway Station (North Melbourne)
14869931,standard,695,False,Hayden Ali,Charter Lane Pty. Ltd.,339 Francis Street,YARRAVILLE,VIC,3013,-37.81922,144.87076,3.0,Townhouse,Townhouse,False,0.0,False,4.12,3.1,0.93,0.58,0.16,2.16,Yarraville Railway Station (Yarraville)
15933515,standard,560,False,MOSS RENTALS,MOSS ESTATE AGENTS,2/60 The Parade,ASCOT VALE,VIC,3032,-37.772625,144.917,1.0,ApartmentUnitFlat,Apartment / Unit / Flat,False,0.0,False,4.13,3.41,1.5,0.62,1.24,0.575,Ascot Vale Railway Station (Ascot Vale)
