SA2 code,SA2 name,IEO_Score,IEO_State Rank,IEO_State Decile,IEO_State Percentile,IER_Usual Resident Population,IER_Score,IER_State Rank,IER_State Decile,IER_State Percentile
204031491,Baranduda - Leneva,1015.7722074,283.0,6.0,55.0,12778.0,1070.977337,443.0,9.0,87.0
204031492,Wodonga,917.88690842,49.0,1.0,10.0,15082.0,914.9598983,45.0,1.0,9.0
205011076,Drouin,933.66929464,84.0,2.0,17.0,19773.0,1016.311518,273.0,6.0,54.0
205011077,Mount Baw Baw Region,974.3024053,175.0,4.0,34.0,6585.0,1036.249036,336.0,7.0,66.0
205011078,Trafalgar (Vic.),958.19442952,142.0,3.0,28.0,8368.0,1017.570688,278.0,6.0,55.0
205011079,Warragul,978.83020418,186.0,4.0,36.0,23051.0,1019.272821,286.0,6.0,56.0
205021081,Bairnsdale,921.972926,60.0,2.0,12.0,15684.0,956.0385382,102.0,2.0,20.0
205021082,Bruthen - Omeo,951.22986383,124.0,3.0,24.0,8290.0,1022.194467,292.0,6.0,57.0
205021084,Lakes Entrance,921.87962331,59.0,2.0,12.0,11164.0,962.1394346,121.0,3.0,24.0
205021085,Orbost,929.39543289,75.0,2.0,15.0,6727.0,936.3574966,65.0,2.0,13.0
205021086,Paynesville,953.10721205,127.0,3.0,25.0,6977.0,986.1392663,179.0,4.0,35.0
205031087,Foster,984.00853319,199.0,4.0,39.0,9446.0,1001.766194,234.0,5.0,46.0
205031088,French Island,1057.681744,355.0,7.0,69.0,139.0,951.2167743,94.0,2.0,19.0
205031089,Korumburra,952.51180996,126.0,3.0,25.0,9842.0,1025.915024,302.0,6.0,59.0
205031090,Leongatha,961.84979209,149.0,3.0,29.0,11502.0,1003.757931,238.0,5.0,47.0
205031091,Phillip Island,980.37900283,188.0,4.0,37.0,13799.0,996.7594327,211.0,5.0,42.0
205031092,Wilsons Promontory,1119.0547771,449.0,9.0,87.0,,,,,
205031093,Wonthaggi - Inverloch,951.94516053,125.0,3.0,25.0,26792.0,989.5136598,189.0,4.0,37.0
205041094,Churchill,932.8936403,82.0,2.0,16.0,11912.0,993.9721025,201.0,4.0,40.0
205041095,Moe - Newborough,864.35613426,6.0,1.0,2.0,17291.0,894.8062261,27.0,1.0,6.0
205041096,Morwell,828.89266925,2.0,1.0,1.0,14432.0,859.0614509,10.0,1.0,2.0
205041098,Yallourn North - Glengarry,903.75688574,35.0,1.0,7.0,4707.0,1028.544945,311.0,7.0,61.0
205041493,Traralgon - East,914.23247887,45.0,1.0,9.0,12000.0,950.7094623,93.0,2.0,19.0
205041494,Traralgon - West,958.71103597,145.0,3.0,29.0,16822.0,993.8654174,200.0,4.0,39.0
205051099,Alps - West,1057.8873038,357.0,7.0,70.0,,,,,
205051100,Longford - Loch Sport,937.21447946,91.0,2.0,18.0,4915.0,1008.676733,251.0,5.0,49.0
205051101,Maffra,921.53531117,58.0,2.0,12.0,14756.0,999.7980002,220.0,5.0,43.0
205051102,Rosedale,937.05482619,89.0,2.0,18.0,4928.0,1022.398805,294.0,6.0,58.0
205051103,Sale,959.28102032,146.0,3.0,29.0,15301.0,960.3537262,115.0,3.0,23.0
205051104,Yarram,919.10940999,53.0,2.0,11.0,5605.0,969.4099564,140.0,3.0,28.0
206011106,Brunswick East,1162.1933987,499.0,10.0,97.0,12738.0,942.8574992,77.0,2.0,15.0
206011107,Brunswick West,1111.7270516,441.0,9.0,86.0,14318.0,948.9006411,88.0,2.0,18.0
206011109,Pascoe Vale South,1080.2847404,393.0,8.0,77.0,10390.0,1037.675364,341.0,7.0,67.0
206011495,Brunswick - North,1131.6340131,458.0,9.0,89.0,12890.0,948.4629273,87.0,2.0,17.0
206011496,Brunswick - South,1157.8684421,493.0,10.0,96.0,12983.0,944.3978441,81.0,2.0,16.0
206011497,Coburg - East,1099.4080657,425.0,9.0,83.0,12535.0,967.0394288,135.0,3.0,27.0
206011498,Coburg - West,1082.3323676,397.0,8.0,77.0,14031.0,1006.625647,248.0,5.0,49.0
206021110,Alphington - Fairfield,1137.7052631,465.0,9.0,90.0,8994.0,1004.822136,241.0,5.0,47.0
206021112,Thornbury,1116.8981651,448.0,9.0,87.0,18919.0,974.4877633,149.0,3.0,29.0
