STOP_ID,LATITUDE,STOP_NAME,LONGITUDE,TICKETZONE,ROUTEUSSP,geometry
19909,-37.834672,Heyington Railway Station (Toorak),145.022635,1,Glen Waverley,POINT (325995.4729633818 5810687.523960801)
19910,-37.839929,Kooyong Railway Station (Kooyong),145.033552,1,Glen Waverley,POINT (326968.5326458252 5810124.460273467)
19911,-37.849366,Tooronga Railway Station (Malvern),145.041734,1,Glen Waverley,POINT (327710.52742727986 5809092.4203644665)
19912,-37.853279,Gardiner Railway Station (Glen Iris),145.051655,1,Glen Waverley,POINT (328592.5243365818 5808676.478209055)
19913,-37.949509,Springvale Railway Station (Springvale),145.153452,2,"Pakenham,Cranbourne",POINT (337760.4943596927 5798180.446116494)
19914,-37.938491,Westall Railway Station (Clayton South),145.138833,2,"Pakenham,Cranbourne",POINT (336451.52354629454 5799377.49280564)
19915,-37.924683,Clayton Railway Station (Clayton),145.120534,2,"Pakenham,Cranbourne",POINT (334812.4469283195 5800877.415432856)
19916,-37.911017,Huntingdale Railway Station (Oakleigh),145.102364,"1,2","Pakenham,Cranbourne",POINT (333184.45460283244 5802361.508278288)
19917,-37.900372,Oakleigh Railway Station (Oakleigh),145.088308,"1,2","Pakenham,Cranbourne",POINT (331924.5085269954 5803517.490009268)
19918,-37.894881,Hughesdale Railway Station (Hughesdale),145.077635,"1,2","Pakenham,Cranbourne",POINT (330973.4972877404 5804107.505872555)
19919,-37.890198,Murrumbeena Railway Station (Murrumbeena),145.067375,1,"Pakenham,Cranbourne",POINT (330060.5165868148 5804608.50556717)
19920,-37.886241,Carnegie Railway Station (Carnegie),145.058575,1,"Pakenham,Cranbourne",POINT (329277.4808074386 5805031.526330744)
19921,-37.899378,Werribee Railway Station (Werribee),144.661118,2,Werribee,POINT (294358.49350633443 5802771.481068322)
19922,-37.883276,Hoppers Crossing Railway Station (Hoppers Crossing),144.700955,2,Werribee,POINT (297817.49019553006 5804645.49410844)
19923,-37.863694,Laverton Railway Station (Laverton),144.772617,"1,2",Werribee,POINT (304068.51105165645 5806971.48031152)
19924,-37.866606,Aircraft Railway Station (Laverton),144.760809,2,Werribee,POINT (303037.44258923235 5806623.464126894)
19925,-37.865163,Westona Railway Station (Altona),144.813494,"1,2",Werribee,POINT (307668.54213051224 5806893.531664266)
19926,-37.867148,Altona Railway Station (Altona),144.829645,"1,2",Werribee,POINT (309094.50034970004 5806706.4277378395)
19927,-37.867842,Seaholme Railway Station (Seaholme),144.840958,1,Werribee,POINT (310091.4995021704 5806652.5076768445)
19928,-37.780621,Westgarth Railway Station (Northcote),144.999233,1,Hurstbridge,POINT (323807.4715271648 5816641.435232607)
19929,-37.779187,Dennis Railway Station (Northcote),145.008242,1,Hurstbridge,POINT (324597.51748075965 5816817.508340981)
19930,-37.779171,Fairfield Railway Station (Fairfield),145.016905,1,Hurstbridge,POINT (325360.46216897876 5816835.495889945)
19931,-37.778394,Alphington Railway Station (Alphington),145.031255,1,Hurstbridge,POINT (326622.49306212354 5816948.433650462)
19932,-37.774963,Darebin Railway Station (Ivanhoe),145.038476,1,Hurstbridge,POINT (327250.50919780013 5817342.518169751)
19933,-37.768897,Ivanhoe Railway Station (Ivanhoe),145.045425,"1,2",Hurstbridge,POINT (327848.46682297636 5818028.44321194)
19934,-37.763586,Eaglemont Railway Station (Eaglemont),145.053943,"1,2",Hurstbridge,POINT (328586.5070319342 5818633.419302961)
19935,-37.757073,Heidelberg Railway Station (Heidelberg),145.060686,"1,2",Hurstbridge,POINT (329165.53654731135 5819368.467448086)
19936,-37.742879,Rosanna Railway Station (Rosanna),145.06614,2,Hurstbridge,POINT (329613.4711412167 5820953.427957747)
19937,-37.934353,Moorabbin Railway Station (Moorabbin),145.036738,2,Frankston,POINT (327469.4729817456 5799652.50280787)
19938,-37.925149,Patterson Railway Station (Bentleigh),145.03547,2,Frankston,POINT (327336.5024636987 5800671.495795285)
19939,-37.917425,Bentleigh Railway Station (Bentleigh),145.036995,"1,2",Frankston,POINT (327452.49092953396 5801531.425039478)
19940,-37.910309,McKinnon Railway Station (Mckinnon),145.038299,"1,2",Frankston,POINT (327550.49665934464 5802323.469712674)
19941,-37.903212,Ormond Railway Station (Ormond),145.039613,"1,2",Frankston,POINT (327649.45726189646 5803113.4329622425)
19942,-37.889719,Glenhuntly Railway Station (Glen Huntly),145.042223,1,Frankston,POINT (327847.5039209302 5804615.519586251)
19943,-37.877459,Caulfield Railway Station (Caulfield East),145.042525,1,"Frankston,Pakenham,Cranbourne",POINT (327845.51773254486 5805976.517305192)
19944,-37.866253,Malvern Railway Station (Malvern),145.029294,1,Frankston,POINT (326655.49585179443 5807195.508137055)
19945,-37.856452,Armadale Railway Station (Armadale),145.019326,1,Frankston,POINT (325755.52642629796 5808264.518310422)
19946,-37.850774,Toorak Railway Station (Armadale),145.013909,1,Frankston,POINT (325265.5317354467 5808884.445534429)
19947,-37.844591,Hawksburn Railway Station (South Yarra),145.002142,1,Frankston,POINT (324215.4956319061 5809548.452702308)
19948,-37.95033,Sandringham Railway Station (Sandringham),145.004561,2,Sandringham,POINT (324679.45025603217 5797819.492895864)
19949,-37.937977,Hampton Railway Station (Hampton),145.001471,2,Sandringham,POINT (324378.53110980534 5799184.448566464)
19950,-37.926484,Brighton Beach Railway Station (Brighton),144.989154,"1,2",Sandringham,POINT (323268.52831258706 5800436.505167472)
19951,-37.915134,Middle Brighton Railway Station (Brighton),144.996299,"1,2",Sandringham,POINT (323869.47344006086 5801709.512217856)
19952,-37.904887,North Brighton Railway Station (Brighton),145.002605,"1,2",Sandringham,POINT (324399.4893047019 5802858.495277818)
19953,-37.896695,Gardenvale Railway Station (Brighton),145.004168,1,Sandringham,POINT (324517.4650497966 5803770.477228984)
19954,-37.884753,Elsternwick Railway Station (Elsternwick),145.000898,1,Sandringham,POINT (324201.493958701 5805089.483146544)
19955,-37.875906,Ripponlea Railway Station (Ripponlea),144.995237,1,Sandringham,POINT (323682.52348430397 5806060.518813446)
19956,-37.869488,Balaclava Railway Station (Balaclava),144.993512,1,Sandringham,POINT (323515.4978008246 5806769.4397664815)
19957,-37.856053,Windsor Railway Station (Windsor),144.992035,1,Sandringham,POINT (323353.48306983424 5808257.481116541)
19958,-37.849518,Prahran Railway Station (Prahran),144.98986,1,Sandringham,POINT (323146.4950335226 5808978.525235044)
19959,-37.838449,South Yarra Railway Station (South Yarra),144.992342,1,"Frankston,Pakenham,Sandringham,Cranbourne",POINT (323338.48826531955 5810211.51115061)
19960,-37.666078,Upfield Railway Station (Coolaroo),144.94674,2,Upfield,POINT (318905.4876124373 5829251.446472293)
